epoch_id,epoch_loss,epoch_acc
1,0.49622017996651785,0.8095238095238095
2,0.2941625231788272,0.9285714285714286
3,0.24817017146519252,0.9285714285714286
4,0.1854612940833682,0.9523809523809523
5,0.15731197311764672,0.9523809523809523
6,0.11014073235648018,0.9523809523809523
7,0.08232180277506511,0.9523809523809523
8,0.054413557052612305,1.0
9,0.05616543406531924,1.0
10,0.049419312250046504,1.0
11,0.0537150814419701,0.9761904761904762
12,0.03629199663798014,1.0
13,0.03676322528294155,1.0
14,0.03393816947937012,1.0
15,0.027986390250069753,1.0
16,0.02554192997160412,1.0
17,0.030636742001488096,1.0
18,0.021199930281866165,1.0
19,0.0279192016238258,1.0
20,0.016216198603312176,1.0
21,0.02096919786362421,1.0
22,0.0163335573105585,1.0
23,0.012841247376941499,1.0
24,0.015570708683558874,1.0
25,0.014268602643694197,1.0
26,0.01260995864868164,1.0
27,0.019899107161022368,1.0
28,0.010304836999802362,1.0
29,0.01271571431841169,1.0
30,0.01704231897989909,1.0
